barometer	an instrument that measures atmospheric pressure	Dimension
baseboard	a molding covering the joint formed by a wall and the floor	Protecting
basin	a bowl-shaped vessel; usually used for holding food or liquids	Containing
basket	a container that is usually woven and has handles	Containing
bassinet	a basket (usually hooded) used as a baby's bed	Sleep
bath	a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)	Grooming
bathrobe	a loose-fitting robe of towelling; worn after a bath or swim	Wearing
bathtub	a relatively large open container that you fill with water and use to wash the body	Grooming
baton	a thin tapered rod used by a conductor to lead an orchestra or choir	Performing_arts
battleship	large and heavily armoured warship	Cause_harm
bayonet	a knife that can be fixed to the end of a rifle and used as a weapon	Cause_harm
bazooka	a portable rocket launcher used by infantrymen as an antitank weapon	Cause_harm
beachwear	clothing to be worn at a beach	Wearing
bead	a small ball with a hole through the middle	None of above
beaker	a flatbottomed jar made of glass or plastic; used for chemistry	Containing
beanie	a small skullcap; formerly worn by schoolboys and college freshmen	Wearing
bed	a piece of furniture that provides a place to sleep	Sleep
bedding	coverings that are used on a bed	Sleep
bedpan	a shallow vessel used by a bedridden patient for defecation and urination	Excreting
bedpost	any of 4 vertical supports at the corners of a bedstead	Supporting
beeper	an electronic device that generates a series of beeps when the person carrying it is being paged	Contacting
bell	a hollow device made of metal that makes a ringing sound when struck	Make_noise
bench	a long seat for more than one person	Supporting
beret	a cap with no brim or bill; made of soft cloth	Wearing
bib	top part of an apron; covering the chest	Protecting
bicycle	a wheeled vehicle that has two wheels and is moved by foot pedals	Self_motion
bifocals	eyeglasses having two focal lengths, one for near vision and the other for far vision	Perception_experience
bike	a motor vehicle with two wheels and a strong frame	Self_motion
bin	a container; usually has a lid	Containing
binder	a machine that cuts grain and binds it in sheaves	Cutting
binoculars	an optical instrument designed for simultaneous use by both eyes	Perception_experience
birdbath	an ornamental basin (usually in a garden) for birds to bathe in	Grooming
blackboard	sheet of slate; for writing with chalk	Text_creation
blacktop	a black bituminous material used for paving roads or other areas; usually spread over crushed rock	Building
blanket	bedding that keeps a person warm in bed	Sleep
blazer	lightweight single-breasted jacket; often striped in the colors of a club or school	Wearing
blindfold	a cloth used to cover the eyes	Eclipse
blouse	a top worn by women	Wearing
blowtorch	a burner that mixes air and gas to produce a very hot flame	Setting_fire
boa	a long thin fluffy scarf of feathers or fur	Wearing
boat	a small vessel for travel on water	Self_motion
bobsleigh	formerly two short sleds coupled together	Self_motion
bodice	part of a dress above the waist	Wearing
boiler	sealed vessel where water is converted to steam	Cause_temperature_change
bomb	an explosive device fused to explode under specific conditions	Cause_harm
bonnet	a hat tied under the chin	Wearing
book	a written work or composition that has been published (printed on pages bound together)	Reading_activity
bookcase	a piece of furniture with shelves for storing books	Containing
booklet	a small book usually having a paper cover	Reading_activity
bookmark	a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place	Reading_activity
bookmarker	a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place	Reading_activity
bookshelf	a shelf on which to keep books	Containing
boomerang	a curved piece of wood; when properly thrown will return to thrower	Hunting
boot	footwear that covers the whole foot and lower leg	Wearing
bootie	a slipper that is soft and wool (for babies)	Wearing
bootlace	a long lace for fastening boots	Closure
bottle	a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped	Containing
bow	a knot with two loops and loose ends; used to tie shoelaces	Closure
bowl	a round vessel that is open at the top; used chiefly for holding food or liquids	Ingestion
bowtie	a man's tie that ties in a bow	Wearing
box	a (usually rectangular) container; may have a lid	Containing
boxcar	a freight car with roof and sliding doors in the sides	Bringing
bra	an undergarment worn by women to support their breasts	Wearing
bracelet	a band of cloth or leather or metal links attached to a wristwatch and wrapped around the wrist	Wearing
braces	an appliance that corrects dental irregularities	Cure
brassiere	an undergarment worn by women to support their breasts	Wearing
breadboard	a wooden or plastic board on which dough is kneaded or bread is sliced	Supporting
breadbox	a container used to keep bread or cake in	Containing
breastplate	armor plate that protects the chest; the front part of a cuirass	Protecting
breathalyzer	a device that measures chemicals (especially the alcohol content) in a person's expired breath	Dimension
brick	rectangular block of clay baked by the sun or in a kiln; used as a building or paving material	Building
briefcase	a case with a handle; for carrying papers or files or books	Containing
brochure	a small book usually having a paper cover	Reading_activity
broom	a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle	Removing
buck	a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting	Competition
bucket	a roughly cylindrical vessel that is open at the top	Containing
buckshot	small lead shot for shotgun shells	Cause_harm
buffet	a piece of furniture that stands at the side of a dining room; has shelves and drawers	Containing
bugle	a brass instrument without valves; used for military calls and fanfares	Make_noise
bullet	a projectile that is fired from a gun	Cause_harm
bullhorn	a portable loudspeaker with built-in microphone and amplifier	Make_noise
bumper	a glass filled to the brim (especially as a toast)	Containing
burlap	coarse jute fabric	None of above
burner	an apparatus for burning fuel (or refuse)	Setting_fire
bus	a vehicle carrying many passengers; used for public transport	Self_motion
button	a round fastener sewn to shirts and coats etc to fit through buttonholes	Closure
buttonhole	a hole through which buttons are pushed	Closure
buzzer	a push button at an outer door that gives a ringing or buzzing signal when pushed	Make_noise
cabinet	a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display	Containing
cake	a block of solid substance (such as soap or wax)	None of above
camcorder	a portable television camera and videocassette recorder	Create_representation
camera	equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)	Create_representation
camisole	a short sleeveless undergarment for women	Wearing
candle	stick of wax with a wick in the middle	Light_movement
cane	a stick that people can lean on to help them walk	Supporting
canister	a metallic cylinder packed with shot and used as ammunition in a firearm	Cause_harm
cannon	a large artillery gun that is usually on wheels	Cause_harm
cannonball	a solid projectile that in former times was fired from a cannon	Cause_harm
canoe	small and light boat; pointed at both ends; propelled with a paddle	Self_motion
canopy	the transparent covering of an aircraft cockpit	Protecting
canteen	a flask for carrying water; used by soldiers or travelers	Containing
canvas	a heavy, closely woven fabric (used for clothing or chairs or sails or tents)	None of above
cap	a tight-fitting headdress	Wearing
capsule	a small container	Containing
car	a motor vehicle with four wheels; usually propelled by an internal combustion engine	Self_motion
carafe	a bottle with a stopper; for serving wine or water	Containing
cardigan	knitted jacket that is fastened up the front with buttons or a zipper	Wearing
cargo	goods carried by a large vehicle	None of above
carpet	floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)	Protecting
carpetbag	traveling bag made of carpet; widely used in 19th century	Containing
carriage	a railcar where passengers ride	Self_motion
cart	a heavy open wagon usually having two wheels and drawn by an animal	Bringing
cartridge	ammunition consisting of a cylindrical casing containing an explosive charge and a bullet; fired from a rifle or handgun	Cause_harm
cartwheel	a wheel that has wooden spokes and a metal rim	Cause_motion
cashmere	a soft fabric made from the wool of the Cashmere goat	None of above
casket	box in which a corpse is buried or cremated	Containing
cassette	a container that holds a magnetic tape used for recording or playing sound or video	Perception_experience
catalog	a book or pamphlet containing an enumeration of things	Reading_activity
cauldron	a very large pot that is used for boiling	Cooking_creation
ceiling	the overhead upper surface of a covered space	Protecting
cello	a large stringed instrument; seated player holds it upright while playing	Performing_arts
cellophane	a transparent paperlike product that is impervious to moisture and used to wrap candy or cigarettes etc.	Protecting
cement	concrete pavement is sometimes referred to as cement	Building
chainsaw	portable power saw; teeth linked to form an endless chain	Cutting
chair	a seat for one person, with a support for the back	Supporting
chairlift	a ski lift on which riders (skiers or sightseers) are seated and carried up or down a mountainside; seats are hung from an endless overhead cable	Bringing
chalice	a bowl-shaped drinking vessel; especially the Eucharistic cup	Containing
chalkboard	sheet of slate; for writing with chalk	Text_creation
chandelier	branched lighting fixture; often ornate; hangs from the ceiling	Light_movement
chariot	a light four-wheel horse-drawn ceremonial carriage	Self_motion
checkerboard	a board having 64 squares of two alternating colors	Competition
cheeseboard	tray on which cheeses are served	Supporting
cheesecloth	a coarse loosely woven cotton gauze; originally used to wrap cheeses	Protecting
chessboard	a checkerboard used to play chess	Competition
chinaware	dishware made of high quality porcelain	Ingestion
chopstick	one of a pair of slender sticks used as oriental tableware to eat food with	Ingestion
chute	rescue equipment consisting of a device that fills with air and retards your fall	Self_motion
cinema	a medium that disseminates moving pictures	Perception_experience
cleaver	a butcher's knife having a large square blade	Cutting
clipboard	a small writing board with a clip at the top for holding papers	Text_creation
cloak	anything that covers or conceals	Eclipse
clock	a timepiece that shows the time of day	Dimension
cloth	artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers	None of above
clothes	clothing in general	Wearing
clothesline	a cord on which clothes are hung to dry	Supporting
coat	an outer garment that has sleeves and covers the body from shoulder down; worn outdoors	Wearing
cobblestone	rectangular paving stone with curved top; once used to make roads	Building
cobweb	a fabric so delicate and transparent as to resemble a web of a spider	None of above
coffeepot	tall pot in which coffee is brewed	Cooking_creation
coffin	box in which a corpse is buried or cremated	Containing
cogwheel	a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion	Cause_motion
collage	a paste-up made by sticking together pieces of paper or photographs to form an artistic image	Perception_experience
collar	a band that fits around the neck and is usually folded over	Wearing
commode	a plumbing fixture for defecation and urination	Excreting
compass	navigational instrument for finding directions	Dimension
computer	a machine for performing calculations automatically	None of above
condom	contraceptive device consisting of a sheath of thin rubber or latex that is worn over the penis during intercourse	Protecting
cone	any cone-shaped artifact	None of above
container	any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)	Containing
cookware	a kitchen utensil made of material that does not melt easily; used for cooking	Cooking_creation
copier	apparatus that makes copies of typed, written or drawn material	Create_representation
copybook	a book containing models of good penmanship; used in teaching penmanship	Education_teaching
corduroy	a cut pile fabric with vertical ribs; usually made of cotton	None of above
corkscrew	a bottle opener that pulls corks	Closure
costume	the attire worn in a play or at a fancy dress ball	Wearing
cot	a sheath worn to protect a finger	Protecting
couch	an upholstered seat for more than one person	Supporting
cowbell	a bell hung around the neck of cow so that the cow can be easily located	Make_noise
cradle	a baby bed with sides and rockers	Sleep
crate	a rugged box (usually made of wood); used for shipping	Containing
crayon	writing implement consisting of a colored stick of composition wax used for writing and drawing	Create_representation
crib	baby bed with high sides made of slats	Sleep
crossbar	a horizontal bar that goes across something	None of above
crossbeam	a horizontal beam that extends across something	Supporting
crossbow	a bow fixed transversely on a wooden stock grooved to direct the arrow (quarrel)	Cause_harm
crowbar	a heavy iron lever with one end forged into a wedge	Cause_motion
crutch	a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking	Supporting
cufflink	jewelry consisting of one of a pair of linked buttons used to fasten the cuffs of a shirt	Wearing
cup	a small open container usually used for drinking; usually has a handle	Ingestion
curtain	hanging cloth used as a blind (especially for a window)	Eclipse
cushion	a mechanical damper; absorbs energy of sudden impulses	Protecting
cutlery	a cutting implement; a tool for cutting	Cutting
dagger	a short knife with a pointed blade used for piercing or stabbing	Cause_harm
dart	a small narrow pointed missile that is thrown or shot	Cause_harm
dashboard	protective covering consisting of a panel to protect people from the splashing water or mud etc.	Protecting
deadbolt	the part of a lock that is engaged or withdrawn with a key	Protecting
decal	either a design that is fixed to some surface or a paper bearing the design which is to be transferred to the surface	None of above
deck	any of various platforms built into a vessel	Supporting
defibrillator	an electronic device that administers an electric shock of preset voltage to the heart through the chest wall in an attempt to restore the normal rhythm of the heart during ventricular fibrillation	Cure
denim	(usually plural) close-fitting trousers of heavy denim for manual work or casual wear	Wearing
denture	a dental appliance that artificially replaces missing teeth	Cure
desk	a piece of furniture with a writing surface and usually drawers or other compartments	Supporting
detonator	a mechanical or electrical explosive device or a small amount of explosive; can be used to initiate the reaction of a disrupting explosive	Cause_harm
diamond	a transparent piece of diamond that has been cut and polished and is valued as a precious gem	Wearing
diaper	garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement	Wearing
dice	a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers	None of above
dildo	a vibrating device that substitutes for an erect penis to provide vaginal stimulation	None of above
dinnerware	the tableware (plates and platters and serving bowls etc.) used in serving a meal	Ingestion
diorama	a picture (or series of pictures) representing a continuous scene	Perception_experience
disc	sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove	Create_representation
dish	a piece of dishware normally used as a container for holding or serving food	Ingestion
dishrag	a cloth for washing dishes	Removing
dishtowel	a towel for drying dishes	Cause_to_be_dry
dishware	tableware (eating and serving dishes) collectively	Ingestion
dishwasher	a machine for washing dishes	Removing
doll	a small replica of a person; used as a toy	None of above
doorbell	a push button at an outer door that gives a ringing or buzzing signal when pushed	Make_noise
doorjamb	a jamb for a door	Supporting
doorknocker	a device (usually metal and ornamental) attached by a hinge to a door	Make_noise
doornail	a nail with a large head; formerly used to decorate doors	None of above
doorpost	a jamb for a door	Supporting
doorstep	the sill of a door; a horizontal piece of wood or stone that forms the bottom of a doorway and offers support when passing through a doorway	Supporting
doorstop	a stop that keeps open doors from moving	Inhibit_movement
drape	hanging cloth used as a blind (especially for a window)	Eclipse
drawers	underpants worn by men	Wearing
dress	a one-piece garment for a woman; has skirt and bodice	Wearing
dresser	furniture with drawers for keeping clothes	Containing
drum	a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end	Make_noise
dryer	an appliance that removes moisture	Cause_to_be_dry
drywall	a wide flat board used to cover walls or partitions; made from plaster or wood pulp or other materials and used primarily to form the interior walls of houses	Protecting
dumbbell	an exercising weight; two spheres connected by a short bar that serves as a handle	Competition
dumbwaiter	a small elevator used to convey food (or other goods) from one floor of a building to another	Bringing
dustbin	a bin that holds rubbish until it is collected	Containing
duvet	a soft quilt usually filled with the down of the eider	Sleep
earphone	electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear	Perception_experience
earpiece	electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear	Perception_experience
earplug	an earphone that is inserted into the ear canal	Protecting
earring	jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe	Wearing
easel	an upright tripod for displaying something (usually an artist's canvas)	Supporting
eggbeater	an aircraft without wings that obtains its lift from the rotation of overhead blades	Self_motion
elevator	lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building	Bringing
engine	motor that converts thermal energy to mechanical work	Cause_motion
envelope	a flat (usually rectangular) container for a letter, thin package, etc.	Containing
equipment	an instrumentality needed for an undertaking or to perform a service	None of above
eraser	an implement used to erase something	Removing
eyeglass	lens for correcting defective vision in one eye; held in place by facial muscles	Perception_experience
eyeglasses	optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision	Perception_experience
eyeliner	makeup applied to emphasize the shape of the eyes	Wearing
eyepiece	combination of lenses at the viewing end of optical instruments	Perception_experience
fabric	artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers	None of above
faceplate	a protective covering for the front of a machine or device (as a door lock or computer component)	Protecting
fan	a device for creating a current of air by movement of a surface or surfaces	Cause_temperature_change
featherbed	a mattress stuffed with feathers	Sleep
fedora	a hat made of felt with a creased crown	Wearing
feedbag	a canvas bag that is used to feed an animal (such as a horse); covers the muzzle and fastens at the top of the head	Ingestion
ferry	a boat that transports people or vehicles across a body of water and operates on a regular schedule	Self_motion
ferryboat	a boat that transports people or vehicles across a body of water and operates on a regular schedule	Self_motion
fiddle	bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow	Make_noise
figurine	a small carved or molded figure	Perception_experience
film	a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement	Perception_experience
filter	device that removes something from whatever passes through it	Removing
firearm	a portable gun	Cause_harm
fishhook	a sharp barbed hook for catching fish	Hunting
fishnet	a net that will enclose fish when it is pulled in	Hunting
flag	emblem usually consisting of a rectangular piece of cloth of distinctive design	None of above
flagpole	surveying instrument consisting of a straight rod painted in bands of alternate red and white each one foot wide; used for sightings by surveyors	Perception_experience
flagstone	stratified stone that splits into pieces suitable as paving stones	Building
flamethrower	a weapon that squirts ignited fuel for several yards	Cause_harm
flashbulb	a lamp for providing momentary light to take a photograph	Light_movement
flashlight	a small portable battery-powered electric lamp	Light_movement
flask	bottle that has a narrow neck	Containing
flatware	tableware that is relatively flat and fashioned as a single piece	Ingestion
floodlight	light that is a source of artificial illumination having a broad beam; used in photography	Light_movement
floor	the inside lower horizontal surface (as of a room, hallway, tent, or other structure)	Supporting
flowerpot	a container in which plants are cultivated	Containing
flute	a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown	Make_noise
flyswatter	an implement with a flat part (of mesh or plastic) and a long handle; used to kill insects	Hunting
flytrap	a trap for catching flies	Hunting
folder	a small book usually having a paper cover	Reading_activity
footboard	a narrow platform on which to stand or brace the feet	Supporting
footgear	covering for a person's feet	Wearing
footlocker	a trunk for storing personal possessions; usually kept at the foot of a bed (as in a barracks)	Containing
footplate	the platform in the cab of a locomotive on which the engineer stands to operate the controls	Supporting
footrest	a low seat or a stool to rest the feet of a seated person	Supporting
footstool	a low seat or a stool to rest the feet of a seated person	Supporting
footwear	clothing worn on a person's feet	Wearing
forceps	an extractor consisting of a pair of pincers used in medical treatment (especially for the delivery of babies)	None of above
fork	cutlery used for serving and eating food	Ingestion
frosting	a flavored sugar topping used to coat and decorate cakes	Ingestion
furniture	furnishings that make a room or other area ready for occupancy	None of above
fuse	an electrical device that can interrupt the flow of electrical current when it is overloaded	Protecting
futon	mattress consisting of a pad of cotton batting that is used for sleeping on the floor or on a raised frame	Sleep
gadget	a device or control that is very useful for a particular job	None of above
gargoyle	a spout that terminates in a grotesquely carved figure of a person or animal	Cause_fluidic_motion
garment	an article of clothing	Wearing
garter	a band (usually elastic) worn around the leg to hold up a stocking (or around the arm to hold up a sleeve)	Wearing
gauze	(medicine) bleached cotton cloth of plain weave used for bandages and dressings	Cure
gavel	a small mallet used by a presiding officer or a judge	Make_noise
gearshift	a mechanical device for engaging and disengaging gears	Cause_motion
glasses	optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision	Perception_experience
glassware	an article of tableware made of glass	Ingestion
goalpost	one of a pair of posts (usually joined by a crossbar) that are set up as a goal at each end of a playing field	None of above
goblet	a drinking glass with a base and stem	Ingestion
goggles	tight-fitting spectacles worn to protect the eyes	Protecting
gondola	a low flat-bottomed freight car with fixed sides but no roof	Self_motion
gourd	bottle made from the dried shell of a bottle gourd	Containing
gown	a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions	Wearing
graffiti	a rude decoration inscribed on rocks or walls	Perception_experience
gramophone	an antique record player; the sound of the vibrating needle is amplified acoustically	Make_noise
grater	utensil with sharp perforations for shredding foods (as vegetables or cheese)	Cause_to_fragment
grenade	a small explosive bomb thrown by hand or fired from a missile	Cause_harm
grout	a thin mortar that can be poured and used to fill cracks in masonry or brickwork	Building
guitar	a stringed instrument usually having six strings; played by strumming or plucking	Make_noise
gun	a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)	Cause_harm
gunnysack	a bag made of burlap	Containing
gurney	a metal stretcher with wheels	Bringing
hacksaw	saw used with one hand for cutting metal	Cutting
hairbrush	a brush used to groom a person's hair	Grooming
hairnet	a small net that some women wear over their hair to keep it in place	Wearing
hairpiece	a covering or bunch of human or artificial hair used for disguise or adornment	Wearing
hairpin	a double pronged pin used to hold women's hair in place	Attaching
handbag	a container used for carrying money and small personal items or accessories (especially by women)	Containing
handcart	wheeled vehicle that can be pushed by a person; may have one or two or four wheels	Bringing
handgun	a firearm that is held and fired with one hand	Cause_harm
handlebar	the shaped bar used to steer a bicycle	Cause_motion
handsaw	a saw used with one hand for cutting wood	Cutting
hankie	a square piece of cloth used for wiping the eyes or nose or as a costume accessory	Grooming
hanky	a square piece of cloth used for wiping the eyes or nose or as a costume accessory	Grooming
hardcover	a book with cardboard or cloth or leather covers	Reading_activity
hardware	major items of military weaponry (as tanks or missile)	Cause_harm
harmonica	a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole	Make_noise
harp	a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers	Make_noise
harpoon	a spear with a shaft and barbed point for throwing; used for catching large fish or whales; a strong line is attached to it	Hunting
harpsichord	a clavier with strings that are plucked by plectra mounted on pivots	Make_noise
hat	headdress that protects the head from bad weather; has shaped crown and usually a brim	Wearing
hatbox	a round piece of luggage for carrying hats	Containing
hatchet	weapon consisting of a fighting ax; used by North American Indians	Cause_harm
headband	a band worn around or over the head	Wearing
headdress	clothing for the head	Wearing
headgear	clothing for the head	Wearing
headlight	a powerful light with reflector; attached to the front of an automobile or locomotive	Light_movement
headphone	electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear	Perception_experience
hearse	a vehicle for carrying a coffin to a church or a cemetery; formerly drawn by horses but now usually a motor vehicle	Bringing
heater	device that heats water or supplies warmth to a room	Cause_temperature_change
helicopter	an aircraft without wings that obtains its lift from the rotation of overhead blades	Self_motion
helmet	armor plate that protects the head	Protecting
highchair	a chair for feeding a very young child; has four long legs and a footrest and a detachable tray	Supporting
highlighter	a cosmetic used to highlight the eyes or cheekbones	Wearing
hinge	a joint that holds two parts together so that one can swing relative to the other	Attaching
hoe	a tool with a flat blade attached at right angles to a long handle	Cutting
holster	a sheath (usually leather) for carrying a handgun	Containing
hoopskirt	a skirt stiffened with hoops	Wearing
horn	a noisemaker (as at parties or games) that makes a loud noise when you blow through it	Make_noise
horseshoe	game equipment consisting of an open ring of iron used in playing horseshoes	None of above
hose	socks and stockings and tights collectively (the British include underwear)	Wearing
hosiery	socks and stockings and tights collectively (the British include underwear)	Wearing
hotplate	a portable electric appliance for heating or cooking or keeping food warm	Cooking_creation
hourglass	a sandglass that runs for sixty minutes	Dimension
houseboat	a barge that is designed and equipped for use as a dwelling	Residence
housecoat	a loose dressing gown for women	Wearing
housetop	the roof of a house	Protecting
hovercraft	a craft capable of moving over water or land on a cushion of air created by jet engines	Self_motion
hubcap	cap that fits over the hub of a wheel	Protecting
hydrant	a faucet for drawing water from a pipe or cask	Cause_fluidic_motion
icebox	white goods in which food can be stored at low temperatures	Cause_temperature_change
icepick	pick consisting of a steel rod with a sharp point; used for breaking up blocks of ice	Cause_to_fragment
incubator	apparatus consisting of a box designed to maintain a constant temperature by the use of a thermostat; used for chicks or premature infants	Cause_temperature_change
inhaler	a dispenser that produces a chemical vapor to be inhaled in order to relieve nasal congestion	Cure
inkwell	a small well holding writing ink into which a pen can be dipped	Text_creation
intercom	a communication system linking different rooms within a building or ship etc	Contacting
jacket	a short coat	Wearing
jackhammer	a hammer driven by compressed air	Cause_motion
jar	a vessel (usually cylindrical) with a wide mouth and without handles	Containing
jeep	a car suitable for traveling over rough terrain	Self_motion
jet	an airplane powered by one or more jet engines	Self_motion
jewel	a precious or semiprecious stone incorporated into a piece of jewelry	Wearing
jewelry	an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)	Wearing
jigsaw	a portable power saw with a reciprocating blade; can be used with a variety of blades depending on the application and kind of cut; generally have a plate that rides on the surface that is being cut	Cutting
joystick	a lever used by a pilot to control the ailerons and elevators of an airplane	Cause_motion
jug	a large bottle with a narrow mouth	Containing
jukebox	a cabinet containing an automatic record player; records are played by inserting a coin	Make_noise
jumpsuit	one-piece garment fashioned after a parachutist's uniform	Wearing
kayak	a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos	Self_motion
kazoo	a toy wind instrument that has a membrane that makes a sound when you hum into the mouthpiece	Make_noise
kerchief	a square scarf that is folded into a triangle and worn over the head or about the neck	Wearing
kettle	a metal pot for stewing or boiling; usually has a lid	Cooking_creation
kettledrum	a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it	Make_noise
key	metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated	Closure
keyboard	device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like	Text_creation
keyhole	the hole where a key is inserted	None of above
keypad	a keyboard that is a data input device for computers; arrangement of keys is modelled after the typewriter keyboard	Text_creation
kilt	a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland	Wearing
kitchenware	hardware utensils for use in a kitchen	Cooking_creation
knapsack	a bag carried by a strap on your back or shoulder	Containing
knickers	trousers ending above the knee	Wearing
knife	edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle	Cutting
knuckles	a small metal weapon; worn over the knuckles on the back of the hand	Cause_harm
lace	a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment)	Closure
lamp	an artificial source of visible illumination	Light_movement
lamppost	a metal post supporting an outdoor lamp (such as a streetlight)	Supporting
landline	a telephone line that travels over terrestrial circuits	Contacting
lantern	light in a transparent protective case	Light_movement
lapel	lap at the front of a coat; continuation of the coat collar	Wearing
laptop	a portable computer small enough to use in your lap	None of above
laser	an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light	Light_movement
latch	spring-loaded doorlock that can only be opened from the outside with a key	Protecting
laundry	garments or white goods that can be cleaned by laundering	None of above
leash	restraint consisting of a rope (or light chain) used to restrain an animal	Inhibit_movement
lens	a transparent optical device used to converge or diverge transmitted light and to form images	Perception_experience
